,title,body,date,news
20,"'전참시' 구혜선, 중간고사 준비→셀프 앞머리 커트..필터링 없는...","시청자들의 시선을 사로잡을 예정이다.최근 구혜선은 자신만의 작업실에서 대학원 중간고사 과제부터 작곡, 미술 등 작업 활동에 한창이다. 하지만 온라인 강의를 듣던 중...", 2020.11.05 , 텐아시아 
21,"'전참시' 구혜선, 출격..중간고사→작품활동까지 일상 大공개 [TV...","라이프가 공개된다. 최근 진행된 녹화에서 구혜선은 자신만의 작업실에서 대학원 중간고사 과제부터 작곡, 미술 등 작업 활동에 한창이다. 하지만 온라인 강의를 듣던 중...", 2020.11.05 , 스포츠투데이 
22,대면 중간고사 본 고려대생 1명 확진..3개 건물 임시폐쇄,고려대에서 중간고사 대면시험을 본 학부생 1명이 코로나19 확진 판정을 받은 것으로 확인됐습니다. 고려대학교는 이에 따라 확진 학생의 동선이 겹치는 문과대학 서관과...,,
23,"부산치대, AI 감독 중간고사 실시",치대)이 지난달 23일 인공지능이 감독하는 무인 감독 환경에서 중간고사를 치렀다. 이번 무인 감독 중간고사에는 엔에스데블의 비대면 온라인 및 오프라인 평가기술..., 2020.11.05 , 치과신문 
24,"'전참시' 구혜선이 뜬다, 중간고사→작품활동까지..구방미인 작업...","시선을 TV 앞으로 끌어당길 예정. 이날 구혜선은 자신만의 작업실에서 대학원 중간고사 과제부터 작곡, 미술 등 작업 활동에 한창이다. 하지만 온라인 강의를 듣던 중...", 2020.11.05 , 한국경제 
25,"대구 한 사립고, 중간고사 시험문제 문제집 베껴 출제 물의…재시...",대구의 한 사립고에서 중간고사 시험 문제를 일반 문제집과 똑같이 출제해 논란이 되고 있다.대구시교육청은 5일 북구 한 고교에서 지난달 26일 치러진 1학년 사회과목 중간..., 2020.11.06 , 경북일보 
26,"""여러분 힘내세요""..우석대, 중간고사 기간 간식 나눔 펼쳐",[완주=뉴시스]윤난슬 기자 = 우석대학교는 중간고사 기간을 맞아 학생들을 격려하기 위한 '간식 나눔' 행사를 펼쳤다고 22일 밝혔다.(사진=우석대 제공) [완주=뉴시스..., 2020.10.22 , 뉴시스 
27,"[충청포럼] 첫째 아이의 2학기 중간고사, 코로나19","등교, 1학년인 셋째는 매주 등교하고 있다. 그리고 필자가 재직하고 있는 대학은 중간고사 교과목 중 교양과목은 출석 시험, 그리고 중간고사 이후 9주 차인 10월 4번째 주...", 2020.10.29 , 충청신문 
28,"'신박' 중간고사, 예민한 홍석천 집정리 산넘었다 '갤러리 같은 ...",신박한 정리 팀이 홍석천이란 산을 넘으며 무사히 중간고사를 치러냈다. 10월 26일 방송된 tvN ‘신박한 정리’에서는 홍석천의 집을 정리했다. 홍석천은 “얼마 전에..., 2020.10.27 , 뉴스엔 
29,"서울여자간호대학교, 2학기 중간고사 대면 시험으로 진행",간호대학교(총장 김종수)가 지난 12일부터 16일까지 대면 시험으로 진행된 2학기 중간고사의 모든 일정을 성공적으로 마무리했다. 앞서 서울여자간호대는 코로나19의 여파로..., 2020.10.23 , 파이낸셜뉴스 
