,ver,hor,y
138,6.15E-01,6.76E-01,0.00E+00
139,5.93E-01,6.40E-01,0.00E+00
140,6.15E-01,6.75E-01,0.00E+00
141,5.55E-01,5.88E-01,0.00E+00
142,5.71E-01,6.35E-01,0.00E+00
143,6.92E-01,6.84E-01,0.00E+00
144,5.71E-01,6.13E-01,0.00E+00
145,6.29E-01,6.16E-01,0.00E+00
146,6.92E-01,6.53E-01,0.00E+00
147,5.52E-01,6.21E-01,0.00E+00
148,5.36E-01,5.92E-01,0.00E+00
149,6.07E-01,6.53E-01,0.00E+00
150,6.07E-01,6.53E-01,0.00E+00
151,6.07E-01,6.53E-01,0.00E+00
152,6.07E-01,6.26E-01,0.00E+00
153,5.00E-01,6.33E-01,0.00E+00
154,5.52E-01,6.57E-01,0.00E+00
155,6.43E-01,6.49E-01,0.00E+00
156,6.07E-01,6.75E-01,0.00E+00
157,6.54E-01,6.49E-01,0.00E+00
158,5.93E-01,6.35E-01,0.00E+00
159,5.67E-01,6.31E-01,0.00E+00
160,6.54E-01,6.57E-01,0.00E+00
161,6.43E-01,6.70E-01,0.00E+00
162,6.32E-01,6.53E-01,0.00E+00
163,5.93E-01,6.08E-01,0.00E+00
164,6.25E-01,6.35E-01,0.00E+00
165,7.31E-01,6.75E-01,0.00E+00
166,6.15E-01,6.21E-01,0.00E+00
167,5.83E-01,6.02E-01,0.00E+00
168,6.54E-01,6.47E-01,0.00E+00
169,6.07E-01,6.35E-01,0.00E+00
170,7.31E-01,6.43E-01,0.00E+00
171,6.07E-01,6.05E-01,0.00E+00
172,5.50E-01,6.28E-01,0.00E+00
173,6.43E-01,6.36E-01,0.00E+00
174,7.92E-01,6.84E-01,0.00E+00
175,6.19E-01,6.53E-01,0.00E+00
176,6.15E-01,6.02E-01,0.00E+00
177,6.29E-01,6.30E-01,0.00E+00
178,6.92E-01,6.17E-01,0.00E+00
179,6.07E-01,6.18E-01,0.00E+00
180,5.93E-01,6.00E-01,0.00E+00
181,5.67E-01,6.10E-01,0.00E+00
182,5.71E-01,5.92E-01,0.00E+00
183,5.52E-01,6.18E-01,0.00E+00
184,6.03E-01,5.92E-01,0.00E+00
185,5.38E-01,6.18E-01,0.00E+00
186,5.38E-01,5.87E-01,0.00E+00
187,6.79E-01,6.53E-01,0.00E+00
188,5.16E-01,5.81E-01,0.00E+00
189,5.99E-01,6.18E-01,0.00E+00
190,6.07E-01,6.53E-01,0.00E+00
191,6.00E-01,6.13E-01,0.00E+00
192,5.71E-01,6.36E-01,0.00E+00
193,5.71E-01,6.23E-01,0.00E+00
194,6.43E-01,6.20E-01,0.00E+00
195,6.43E-01,6.36E-01,0.00E+00
196,6.15E-01,6.18E-01,0.00E+00
197,6.07E-01,6.20E-01,0.00E+00
198,7.39E-01,6.32E-01,0.00E+00
199,7.08E-01,6.40E-01,0.00E+00
200,6.15E-01,6.23E-01,0.00E+00
201,7.03E-01,6.71E-01,0.00E+00
202,6.41E-01,6.32E-01,0.00E+00
203,5.93E-01,6.26E-01,0.00E+00
204,6.65E-01,6.52E-01,0.00E+00
205,7.14E-01,6.67E-01,0.00E+00
206,6.79E-01,6.54E-01,0.00E+00
207,5.77E-01,6.04E-01,0.00E+00
208,6.41E-01,6.10E-01,0.00E+00
209,7.50E-01,6.89E-01,0.00E+00
210,5.52E-01,6.13E-01,0.00E+00
211,6.54E-01,6.49E-01,0.00E+00
212,5.71E-01,6.40E-01,0.00E+00
213,5.36E-01,6.13E-01,0.00E+00
214,6.54E-01,6.32E-01,0.00E+00
215,6.15E-01,6.32E-01,0.00E+00
216,4.64E-01,6.11E-01,0.00E+00
217,6.29E-01,6.39E-01,0.00E+00
218,5.71E-01,6.62E-01,0.00E+00
219,5.17E-01,6.10E-01,0.00E+00
220,5.55E-01,6.40E-01,0.00E+00
221,6.07E-01,6.49E-01,0.00E+00
222,5.38E-01,6.21E-01,0.00E+00
223,6.64E-01,6.83E-01,0.00E+00
224,5.00E-01,6.26E-01,0.00E+00
225,5.99E-01,6.13E-01,0.00E+00
226,6.41E-01,6.36E-01,0.00E+00
227,6.79E-01,6.58E-01,0.00E+00
228,6.07E-01,6.39E-01,0.00E+00
229,5.77E-01,6.36E-01,0.00E+00
230,6.41E-01,6.36E-01,0.00E+00
231,5.93E-01,6.36E-01,0.00E+00
232,5.91E-01,6.28E-01,0.00E+00
233,5.71E-01,6.35E-01,0.00E+00
234,6.92E-01,6.57E-01,0.00E+00
235,6.07E-01,6.39E-01,0.00E+00
236,6.29E-01,6.39E-01,0.00E+00
237,5.77E-01,6.53E-01,0.00E+00
238,5.30E-01,6.29E-01,0.00E+00
239,4.84E-01,6.05E-01,0.00E+00
240,5.83E-01,6.13E-01,0.00E+00
241,6.38E-01,6.51E-01,0.00E+00
242,5.00E-01,6.25E-01,0.00E+00
243,5.91E-01,6.12E-01,0.00E+00
244,6.07E-01,6.44E-01,0.00E+00
245,6.19E-01,6.76E-01,0.00E+00
246,6.65E-01,6.53E-01,0.00E+00
247,6.29E-01,6.34E-01,0.00E+00
248,6.67E-01,6.26E-01,0.00E+00
249,7.15E-01,6.65E-01,0.00E+00
250,6.25E-01,6.35E-01,0.00E+00
251,6.07E-01,6.36E-01,0.00E+00
252,6.68E-01,6.66E-01,0.00E+00
253,6.07E-01,6.48E-01,0.00E+00
254,5.71E-01,5.81E-01,0.00E+00
255,6.29E-01,6.53E-01,0.00E+00
256,5.77E-01,6.61E-01,0.00E+00
257,6.07E-01,6.48E-01,0.00E+00
258,5.93E-01,6.39E-01,0.00E+00
259,6.32E-01,6.42E-01,0.00E+00
260,6.79E-01,6.48E-01,0.00E+00
261,5.36E-01,6.18E-01,0.00E+00
262,6.65E-01,6.39E-01,0.00E+00
263,6.54E-01,6.38E-01,0.00E+00
264,6.15E-01,6.43E-01,0.00E+00
265,7.21E-01,6.36E-01,0.00E+00
