,title,body,date,news
280,"대전대, '1학기 기말고사’ 진행...방역대책 공지","대전대, '1학기 기말고사’ 진행...방역대책 공지 © 로컬투데이 [로컬투데이=대전]주영욱기자/ 대전대학교(총장 이종서)가 오는 15일부터 실시되는 ‘2020학년도 1학기 기말...", 2020.06.11 , 로컬투데이 
281,"호남대, 9월11일까지 '비대면 온라인 수업'",/ 사진=호남대학교 호남대학교는 '코로나19' 재확산으로 2학기 수업을 비대면과 대면을...시험평가도 달라진다. 중간고사는 생략하고 기말고사를 실시하되 대면시험을 원칙..., 2020.08.26 , 머니S 
282,"서울여자간호대학교, 코로나19 대응 위한 방역 및 학사운영 설명...",전 교직원이 코로나 방역에 총력을 기울이고 있다. 이에 서울여자간호대학교는 안전한 기말고사 환경을 위하여 시험 1주 전부터 재학생 대상 사전 자가 진단을 매일 실시..., 2020.06.18 , 매일경제 
283,"세종대학교, 코로나19 집단감염 재확산에 따라 10월초까지 전면 ...",​​​​​​​[한국강사신문 한상형 기자] 세종대학교(총장 배덕효)는 최근 코로나19 집단 감염의...했다. 이에 따라 2학기 중간·기말고사 등의 성적평가 방법도 코로나19 상황을..., 2020.09.05 , 한국강사신문 
284,"세종대학교 ""10월 4일까지 2학기 모든 수업 온라인 진행""",사진=세종대학교 [이코노믹포스트=최민경 기자] 세종대학교가 다음달 4일까지 2학기...했으며 이에 따라 2학기 중간·기말고사 등의 성적평가 방법도 추후 논의할 계획이다..., 2020.09.02 , 이코노믹포스트 
285,"인하대, 대면·비대면 기말고사 병행 실시",신효송 기자] 인하대학교(총장 조명우)가 대면·비대면으로 치르는 올해 1학기 기말고사를 앞두고 철저한 방역 대책과 함께 부정행위 방지 대책을 내놨다. 기말고사 기간은..., 2020.06.10 , 대학저널 
286,"인하대, 대면·비대면 기말고사 병행 실시",이다솜 기자] 인하대학교(총장 조명우)가 대면·비대면으로 치르는 올해 1학기 기말고사를 앞두고 철저한 방역 대책과 함께 부정행위 방지 대책을 내놨다. 기말고사 기간은..., 2020.06.10 , 한국대학신문 
287,"대전대, 15일부터 ‘1학기 기말고사’ 진행","대전대학교(총장 이종서)가 오는 15일부터 실시되는 ‘2020학년도 1학기 기말고사’를 앞두고 분주하다. 11일 대전대에 따르면, 코로나19 사태에 따른 확산을 막고자 기말...", 2020.06.11 , 충청뉴스 
288,연암공대 대면방식 기말고사 실시,연암공과대학교가 신종 코로나바이러스 감염증(코로나19) 대비 방역 지침을 준수하면서...7월 3일까지 대면방식으로 기말고사를 진행하고 있다. 연암공대는 2020년 1학기..., 2020.06.21 , 경남도민신문 
289,"충북도립대학교, 2학기 대면‧비대면 혼합수업 시행",충북 옥천군 충북도립대학교 전경. © 뉴스1 (옥천=뉴스1) 장인수 기자 = 충북도립대학교...실습은 대면수업으로 하고 중간고사와 기말고사는 대면평가로 한다. 이론·실습이..., 2020.08.05 , 뉴스1 
290,"안산대, 대면시험 학생들을 위한 기말고사 “A+간식타임” 이벤트...","[베리타스알파=김하연 기자] 안산대학교(총장 안규철)는 6월 29일 기말고사 기간을 맞아 대면으로 시험을 치르는 학생들을 응원하기 위해 마련한 것으로, 발열체크, 학생 간...", 2020.07.01 , 베리타스알파 
291,"한기대, 비대면 기말고사 대비 ‘공정시험 선언식’",한국기술교육대학교가 지난 11일 교내 총장실에서 교직원과 학생대표 등이 참석한...을 개최했다. 이에 앞서 한기대는 1학기 기말고사를 전면 비대면으로 실시하기로 결정..., 2020.06.14 , 충청투데이 
292,[대학소식] 영진전문대 내달 8일까지 대면 기말고사 外,[대구=일요신문] 영진전문대학교가 다음달 8일까지 대면 기말고사 시험을 치른다. 영진은 기말시험을 위해 이 기간 복현캠퍼스와 글로벌캠퍼스(칠곡)를 개방한다. 시험기간..., 2020.06.30 , 일요신문 
293,"인하대, 기말고사 부정행위 방지 강화",시험 집단 커닝으로 물의를 빚은 인하대학교가 부정행위 방지 대책을 대폭 강화해 기말...절차를 거칠 예정입니다.비대면 기말고사는 화상회의 시스템을 활용해 신분 확인과..., 2020.06.10 , OBS 뉴스 
294,"여기어때, 기말고사 기간 동안 숙소 이용하는 대학생 위한 ‘10% ...","수 있으며, 대면 기말고사를 앞둔 원거리 거주자의 숙박비 부담을 줄이자는 취지를 담았다.여기어때의 긴급숙박지원 대상 대학교는 ▲고려대 ▲카이스트 ▲성균관대...", 2020.06.19 , 위키트리 
295,오픈북조차 부정행위..'정직보다 학점' 기말시험 대학가 민낯(종...,"있다""고 밝혔다. 중앙대학교 정문 [촬영 임광빈] 중앙대의 한 법학 과목 중간고사와 기말고사에서는 카카오톡 채팅방을 통해 일부 학생들이 부정행위를 모의한 것이...", 2020.06.23 , 연합뉴스 
296,"조선대학교, 9월 28일까지 모든 교과목 비대면 수업 진행",직접 강의한 영상을 촬영하여 조선대학교 사이버캠퍼스에 업로드한다. 실험·실습·실기...상시 모니터링과 중간고사 후부터 기말고사 전 2차례의 수업평가를 진행하며 수업..., 2020.08.27 , 뉴스웨이 
297,"기말고사 앞둔 경북·대구지역 대학, 대면시험 가닥",병행하는 학교도 적지 않다. 지난 1일부터 12일까지 비대면 온라인 기말고사를 실시하는 한동대학교는 개교 이래 시험의 원칙인 ‘무감독 양심 시험’을 그대로 적용한다...,,
298,[찰칵! 현장] 방역 수칙 지키며 기말고사 준비,[한국대학신문 조영은 기자] 연암공과대학교(총장 안승권)가 철저한 방역대책을 시행...6월 18일부터 7월 3일까지 대면방식으로 기말고사를 진행한다. 연암공대는 2020..., 2020.06.19 , 한국대학신문 
299,오픈북조차 부정행위..'정직보다 학점' 기말시험 대학가 민낯(종...,"있다""고 밝혔다. 중앙대학교 정문 [촬영 임광빈] 중앙대의 한 법학 과목 중간고사와 기말고사에서는 카카오톡 채팅방을 통해 일부 학생들이 부정행위를 모의한 것이...", 2020.06.23 , 연합뉴스 
300,"조선대학교, 9월 28일까지 모든 교과목 비대면 수업 진행",직접 강의한 영상을 촬영하여 조선대학교 사이버캠퍼스에 업로드한다. 실험·실습·실기...상시 모니터링과 중간고사 후부터 기말고사 전 2차례의 수업평가를 진행하며 수업..., 2020.08.27 , 베타뉴스 
301,"조선대학교, 9월 28일까지 모든 교과목 비대면 수업 진행",직접 강의한 영상을 촬영하여 조선대학교 사이버캠퍼스에 업로드한다. 실험·실습·실기...상시 모니터링과 중간고사 후부터 기말고사 전 2차례의 수업평가를 진행하며 수업..., 2020.08.27 , 교육연합신문 
302,"조선대학교, 9월 28일까지 모든 교과목 비대면 수업 진행",직접 강의한 영상을 촬영하여 조선대학교 사이버캠퍼스에 업로드한다. 실험·실습·실기...상시 모니터링과 중간고사 후부터 기말고사 전 2차례의 수업평가를 진행하며 수업..., 2020.08.27 , 위키트리 
