,title,body,date,news
664,"동서식품, 대학생 서포터즈 비대면 발대식 개최",제5기 맥심 커피라이터’의 발대식을 비대면으로 개최했다고 16일 밝혔다.맥심 커피...캠퍼스’를 콘셉트로 ‘입학-수강-시험-졸업’의 과정에 해당하는 다양한 프로그램을..., 2020.10.16 , 백세시대 
665,"안산시, 무도실무관급 청원경찰 채용",가운데 77%가 무도단증을 보유했다. 시는 28일 서류합격자들을 대상으로 90분간 비대면 인·적성검사를 한 이후 결과를 토대로 면접시험을 진행했다. 면접시험은 청원경찰..., 2020.11.05 , 뉴스피크 
666,"시원스쿨랩, 토익 시험영어 인강 ‘카카오톡 선물하기’ 입점",코로나19 장기화에 따른 비대면 수업 확산으로 시험영어 인터넷 동영상 강의도 '카카오톡'으로 선물하기가 가능해졌다. 시원스쿨 프리미엄 시험영어 인강 브랜드 시원스쿨랩..., 2020.10.12 , 이투데이 
667,"안산시, 무도실무관급 청원경찰 채용…“시민안전 우리가 지킨다”",가운데 77%가 무도단증을 보유했다.시는 28일 서류합격자들을 대상으로 90분간 비대면 인·적성검사를 실시한 이후 결과를 토대로 면접시험을 진행했다.면접시험은 청원경찰..., 2020.11.05 , 케이에스피뉴스 
668,"안산시, 무도실무관급 청원경찰 채용…“시민안전 우리가 지킨다”",가운데 77%가 무도단증을 보유했다.시는 28일 서류합격자들을 대상으로 90분간 비대면 인·적성검사를 실시한 이후 결과를 토대로 면접시험을 진행했다.면접시험은 청원경찰..., 2020.11.05 , 광교신문 
669,"안산, 무도실무관급 청원경찰 6명 채용",심사에서 응시자 가운데 77%가 무도단증을 보유했다. 시는 서류합격자들을 대상으로 비대면 인·적성검사를 실시한 이후 결과를 토대로 면접시험을 진행했다.면접시험은...,,
670,"안산시, 무도실무관급 청원경찰 채용…“시민안전 우리가 지킨다”",가운데 77%가 무도단증을 보유했다. 시는 28일 서류합격자들을 대상으로 90분간 비대면 인·적성검사를 실시한 이후 결과를 토대로 면접시험을 진행했다. 면접시험은 청원..., 2020.11.05 , 뉴스웨이브 
671,"안산시, 무도실무관급 청원경찰 채용…“시민안전 우리가 지킨다”",가운데 77%가 무도단증을 보유했다.시는 28일 서류합격자들을 대상으로 90분간 비대면 인·적성검사를 실시한 이후 결과를 토대로 면접시험을 진행했다.면접시험은 청원경찰..., 2020.11.05 , 경기앤뉴스 
672,"안산시, 무도실무관급 청원경찰 채용…“시민안전 우리가 지킨다”",가운데 77%가 무도단증을 보유했다.시는 28일 서류합격자들을 대상으로 90분간 비대면 인·적성검사를 실시한 이후 결과를 토대로 면접시험을 진행했다.면접시험은 청원경찰..., 2020.11.05 , 경인신문 
673,"안산시, 무도실무관급 청원경찰 채용…“시민안전 우리가 지킨다”",가운데 77%가 무도단증을 보유했다. 시는 28일 서류합격자들을 대상으로 90분간 비대면 인·적성검사를 실시한 이후 결과를 토대로 면접시험을 진행했다. 면접시험은 청원..., 2020.11.05 , 미디어투데이 
674,"복지차관 ""의대생 국시, 의정협의체 선제요건 요구 부적절""","사업, 비대면진료 육성 등 4대 정책을 주로 협의하고 지역의료지원 정책 개발과 필수의료 육성 및 지원, 전공의 수련환경 개선, 건강보험정책심의위원회(건정심) 구조 개선...", 2020.10.29 , 뉴시스 
675,"안산시, 무도실무관급 청원경찰 채용…“시민안전 우리가 지킨다”",가운데 77%가 무도단증을 보유했다. 시는 28일 서류합격자들을 대상으로 90분간 비대면 인·적성검사를 실시한 이후 결과를 토대로 면접시험을 진행했다. 면접시험은 청원..., 2020.11.05 , 데일리와이 
676,"안산시, 무도실무관급 청원경찰 채용…“시민안전 우리가 지킨다”",가운데 77%가 무도단증을 보유했다.시는 28일 서류합격자들을 대상으로 90분간 비대면 인·적성검사를 실시한 이후 결과를 토대로 면접시험을 진행했다.면접시험은 청원경찰..., 2020.11.05 , IPN뉴스 
